NO,imageURL,Name,Price,1h%,24h%,7d%,Market Cap,Volume(24h),Circulating Supply
1,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,Bitcoin,"฿1,026,018.54",0.33%,0.71%,3.42%,"฿19,943,158,407,345","฿337,589,861,249","19,437,425 BTC"
2,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,Ethereum,"฿64,503.55",0.41%,0.35%,4.62%,"฿7,752,950,782,685","฿154,135,258,094","120,194,013 ETH"
3,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,Tether USDt,฿34.53,0.20%,0.22%,1.60%,"฿2,892,604,329,723","฿555,907,769,302","83,796,187,894 USDT"
4,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,XRP,฿25.23,0.19%,0.57%,4.80%,"฿1,325,622,124,415","฿49,034,538,874","52,544,091,958 XRP"
5,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,BNB,"฿8,324.25",0.29%,0.57%,2.51%,"฿1,280,782,660,100","฿9,861,151,684","153,856,455 BNB"
6,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,USD Coin,฿34.52,0.21%,0.22%,1.56%,"฿926,959,678,856","฿67,703,787,713","26,853,595,125 USDC"
7,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,Cardano,฿10.81,0.20%,0.87%,2.94%,"฿378,373,351,558","฿5,490,677,261","34,997,078,646 ADA"
8,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,Dogecoin,฿2.45,0.02%,0.19%,0.66%,"฿343,565,782,140","฿10,221,150,800","140,298,326,384 DOGE"
9,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,Solana,฿842.59,0.17%,1.35%,14.45%,"฿340,502,379,475","฿11,042,489,226","404,138,466 SOL"
10,https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,TRON,฿2.85,0.28%,2.43%,1.31%,"฿255,240,587,268","฿8,066,903,468","89,695,449,640 TRX"
11,https://s2.coinmarketcap.com/static/img/coins/64x64/3890.png,Polygon,฿25.77,0.23%,0.89%,5.53%,"฿240,169,821,790","฿6,918,627,478","9,319,469,069 MATIC"
12,https://s2.coinmarketcap.com/static/img/coins/64x64/2.png,Litecoin,"฿3,186.35",0.16%,0.46%,2.63%,"฿234,181,402,545","฿12,094,073,406","73,428,864 LTC"
13,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png,Polkadot,฿183.71,0.03%,1.37%,2.48%,"฿221,889,886,122","฿3,886,157,912","1,208,131,139 DOT"
14,https://s2.coinmarketcap.com/static/img/coins/64x64/11419.png,Toncoin,฿49.79,0.94%,2.22%,4.65%,"฿170,842,619,286","฿1,199,273,747","3,431,892,088 TON"
15,https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png,Bitcoin Cash,"฿8,561.16",0.02%,1.91%,3.60%,"฿166,776,918,455","฿10,673,364,728","19,456,969 BCH"
16,https://s2.coinmarketcap.com/static/img/coins/64x64/3717.png,Wrapped Bitcoin,"฿1,026,018.54",0.38%,0.52%,3.21%,"฿166,018,874,277","฿2,061,120,893","161,275 WBTC"
17,https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png,Avalanche,฿461.12,0.13%,1.76%,9.07%,"฿159,534,714,291","฿3,370,074,084","345,913,863 AVAX"
18,https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png,Shiba Inu,฿0.0002695,0.19%,0.30%,3.39%,"฿158,813,710,134","฿2,195,264,022","589,346,914,631,298 SHIB"
19,https://s2.coinmarketcap.com/static/img/coins/64x64/4943.png,Dai,฿34.48,0.20%,0.33%,1.68%,"฿158,622,270,248","฿1,853,258,710","4,599,846,934 DAI"
20,https://s2.coinmarketcap.com/static/img/coins/64x64/512.png,Stellar,฿5.30,0.06%,1.76%,12.94%,"฿144,251,743,975","฿6,189,959,704","27,222,889,606 XLM"
